Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Boolean d-Attribute Stable Matching,151,,,,,,OVH,"assume: OVH
then: for an $\epsilon > 0$ there is a $c$ such that finding a stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon}).",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Matching Verification,152,,,,,,OVH,"assume: OVH
then: for an $\epsilon > 0$ there is a $c$ such that verifying a stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon}).",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,153,,,,,,OVH,"assume: OVH
then: for any $\epsilon > 0$, there is a $c$ such that determining whether a given pair is part of any or all stable matchings in the boolean $d$-attribute model with $d = c\log n$ dimensions requires time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,154,,,,,co-nondeterministic Turing Machine,NSETH,"assume: NSETH
then: for any $\epsilon > 0$ there is a $c$ such that determining whether a gaiven pair is part of any or all stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires co-nondeterministic time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Maximum Inner Product Search,Maximum Inner Product Search,Stable Matching Problems,Stable Pair Checking,155,,,,,nondeterministic Turing Machine,NSETH,"assume: NSETH
then: for any $\epsilon > 0$ there is a $c$ such that determining whether a gaiven pair is part of any or all stable matching in the boolean $d$-attribute model with $d = c\log n$ dimensions requires nondeterministic time $\Omega(n^{2-\epsilon})$",2,"Moeller, Daniel, Ramamohan Paturi, and Stefan Schneider. ""Subquadratic algorithms for succinct stable matching."" International Computer Science Symposium in Russia. Springer, Cham, 2016.",https://arxiv.org/pdf/1510.06452.pdf,2016,,,,
,Bichromatic Hamming Close Pair,Bichromatic Hamming Close Pair,Support Vector Machines (SVM),Approximate Hard-Margin SVM,156,,,,,,SETH,"assume: SETH
then: let $k(a,a')$ be the Gaussian kernel with $C=100\log n$ and let $\epsilon = \exp(-\omega(\log^2 n))$, then approximating the optimal value of target within multiplicative factor $1+\epsilon$ requires almost quadratic time.",2,"Backurs, A., Indyk, P., & Schmidt, L. (2017). On the fine-grained complexity of empirical risk minimization: Kernel methods and neural networks. Advances in Neural Information Processing Systems, 30.",https://proceedings.neurips.cc/paper/2017/file/635440afdfc39fe37995fed127d7df4f-Paper.pdf,2017,,,,
,Clique,Max-Weight k-Clique,Geometric Covering Problems,Max-Weight Rectangle,157,,,,,,,"if: to-time: $O(N^{d-\epsilon})$ on $N$ weighted points in $d$ dimensions
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertices, where $k=\lceil d^2\epsilon^{-1}\rceil$",d,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Graph Triangle Problems,Negative Triangle Detection,Maximum Subarray Problem,2D Maximum Subarray,158,,,,,,,"if: to-time: $O(n^{3-\epsilon})$ on $n\times n$ matrices
then: from-time: $O(n^{3-\epsilon})$ on $n$ vertex graphs ",3,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,All-Pairs Shortest Paths (APSP),"Weighted, Undirected APSP",Maximum Subarray Problem,2D Maximum Subarray,159,,,,,,,"if: to-time: $O(n^{3-\epsilon})$ on $n\times n$ matrices
then: from-time: $O(n^{3-\epsilon/10})$ on $n$ vertex graphs ",3,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight k-Clique,Maximum Subarray Problem,Maximum Subarray,160,,,,,,,"if: to-time: $O(n^{d+\lfloor d/2\rfloor-\epsilon})$ for $d$-dimensional hypercube arrays
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertex graphs for $k=d+\lfloor d/2\rfloor$ ",$d+\lfloor d/2\rfloor$,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight K-Clique,Maximum Subarray Problem,Maximum Square Subarray,161,,,,,,,"if: to-time: $O(n^{d+1-\epsilon})$ for $d$-dimensional hypercube arrays
then: from-time: $O(n^{k-\epsilon})$ on $n$ vertex graphs for $k=d+1$ ",d+1,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Clique,Max-Weight K-Clique,Geometric Covering Problems,Weighted Depth,162,,,,,,,"if: to-time: $O(n^{\lfloor d/2\rfloor-\epsilon})$ for $N$ weighted axis-parallel boxes in $\mathbb{R}^d$
then: from-time: $O(n^{k-2\epsilon})$ on $n$ vertex graphs for $k=d$ ",$d+\lfloor d/2\rfloor$,"Backurs, Arturs, Nishanth Dikkala, and Christos Tzamos. ""Tight Hardness Results for Maximum Weight Rectangles}}."" 43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016). Vol. 55. Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik, 2016.",https://arxiv.org/pdf/1602.05837.pdf,2016,,,,
,Orthogonal Vectors,OV,Orthogonal Vectors,k-OV,163,Trivial - subproblem,,,,,k-OV,,2,,,,,,,
,Orthogonal Vectors,3-OV,Orthogonal Vectors,k-OV,164,Trivial - subproblem,,,,,k-OV,,3,,,,,,,
